name,artist,album,id,popularity,duration
TWO SHRiMPS (feat. Mac DeMarco),DOMi & JD BECK,NOT TiGHT,3TcXC3cFAO8jmaoRrYd1a2,41,185577
U DON'T HAVE TO ROB ME,DOMi & JD BECK,NOT TiGHT,4bO4aurVGkuU5FX2984ouZ,35,161934
Real Life,Louis Cole,Time,3SJ4Oc3SHXvvPs40BgKLTr,32,164776
When You're Ugly,Louis Cole,Time,1AING1BmOrEzqdnRuN8tnD,34,190588
Weird Part Of The Night,Louis Cole,Time,5Q9r5uZtc1bHTS0Wd6uS0i,35,260689
La Joya Del Pacífico,Lucho Barrios,Antología 1960 - 1990 (Remastered),5CRZKIoHAypVUYadhr5TC2,39,181786
Un Amor Violento,Los Tres,Los Tres,7zpNN01FLMP70EYGcxCCDY,58,272520
Un Ramito De Violetas,Zalo Reyes,Canto Por Amor,3exX0sgCdCHq91Emx4z2Fz,43,237573
La Torre de Babel,Los Tres,Fome,3AxtYZk8bA3LHaJ1WfYgjj,53,210653
Encuentro,Chico Pérez,Encuentro,3DKA0Se2MMFyLT7lG8sl1x,15,201169
Luna de Plata,Diego Guerrero,Vengo Caminando,2VsdpOdfpgV5JrQpQHqklf,22,293310
Gipsy Sensei,Juan Medina,Gipsy Sensei,2F0e6ubB2YVGgIfdWMi5SE,13,217708
Sjybårturn,Juan Medina,Sjybårturn,4YdLR6pH0TCCrWGxjYE3jl,10,223313
Finding Without Seeking,Victor Tugores,Finding Without Seeking,4kDU1R40XY2fiBtj9REAev,0,250000
Pay Me,The Philharmonik,The Philharmonik,6SHN5cCJKs4AkVStuChozF,40,204631
Summertime,Charlie Parker,Bird: The Complete Charlie Parker On Verve,1H7Xipi1wlBCJShe6yAwkP,6,166160
Déjate Sentir,Antonio Lizana,Quimeras del Mar,7tJSt9YWal4nSe8KeXzBw0,17,261240
Cuba Linda Te Venero,Pepe Marchena,Sus Estilos Flamencos,5rjElGnWfPxDyhFYLXzmB0,20,147880
"¡Ay, Paquita! - Performed by ROSALÍA",Paquita Salas,"¡Ay, Paquita! (Performed by ROSALÍA)",5EmLnaMopRAzdvMVTyPovM,49,52642
It Feels Good To Write A Song,Vulfmon,It Feels Good To Write A Song,467adj5oe7iFD39MbA0VV6,36,178145
Nu Nu,Avishai Cohen,The 50 Gold Selection,1fuixESTW8JFcrlNuLXCgl,10,314600
Remembering,Avishai Cohen,The 50 Gold Selection,0I4qTggFAeRcOQkX0EBlIp,17,314213
When You're Ugly - Instrumental,Louis Cole,Live Sesh and Xtra Songs,6ERlwjJbhBxRpZiynqy2C4,42,108235
Inoportuna,Jorge Drexler,12 segundos de oscuridad,5GCB9mqJzKN4kDKvmqQ03X,55,164946
El Vuelo de los Cuchillos,Juanito Makandé,El Habitante de la Tarde Roja,7rMOUPYzT4ocx4Aa0Ao5sR,18,172336
You Were Just a Kid,Lyle Brewer,Get It Together,5giFReYe11A6IvsipDuk09,37,86503
Peru,Julian Lage,World's Fair,11kEfzLyAPhABo6PESY00q,33,174746
Serenade,Julian Lage,Speak To Me,5pe3wAB03bdlg6CYT61k9L,39,320026
Assassin,The Fearless Flyers,Tailwinds,6VO9i1n879SKNqjZkzaPvB,40,193573
Teen Town,Weather Report,Heavy Weather,4OzXE9NnSdD9aEAwBcnYBI,37,170826
Donna Lee,Jaco Pastorius,Jaco Pastorius,1zWG5Jk6mcC1ewXlYYVaxC,41,147200
But Not For Me - Vocal Version,Chet Baker,Chet Baker Sings,3pfbQmD5xGH9Tcc7GqGfSL,56,184466
Käsebrot,Helge Schneider,I Brake Together,7fii3ZL4mANZtM3XXMzyQU,37,196026
Say It (Over And Over Again),John Coltrane Quartet,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),016HKF7A4O7tatoJ9BgZM1,52,255960
Don't Let Me Down - Remastered 2009,The Beatles,The Beatles 1967 - 1970 (Remastered),3evG0BIqEFMMP7lVJh1cSf,67,215733
Stoner Hill,Brian Blade & The Fellowship Band,Season of Changes,5ZZ8xImiPLEzLtON4k07WO,38,199236
Omission,Julian Lage,Speak To Me,4BNDJ8JLYVc5nkoaIeogna,38,206800
Poetry: How does it feel??? - All About Love Version,Akua Naru,All About Love: New Visions,4Eg1KBwOrcnLZgix9bX9lu,21,448986
Tell Me A Bedtime Story,Takuya Kuroda,Fly Moon Die Soon,7vQqp6Ic5fNYOAfSJlkdT5,9,381123
Sweet Sticky Things,Takuya Kuroda,Fly Moon Die Soon,6LW7lrTmwgeqwuYirR4ySS,21,292482
Corcovado (Quiet Nights Of Quiet Stars),Stan Getz,Getz/Gilberto (Expanded Edition),0Wh99eifNTNqDFRtzWhCE2,61,256560
